W11-2143	improve translation quality	use more data	88	13	0	18	0	3	7	0	0	0	0	0	3	0	0	22	1	5	6	8	11	0	0	1	0	0	0
P13-1036	improve translation quality	make decoding efficient	0	1	0	0	0	0	7	0	0	0	0	0	1	0	0	2	0	0	1	23	58	0	0	0	0	0	0
P13-1036	improve translation speed	make decoding efficient	0	1	0	0	0	0	7	0	0	0	0	0	1	0	0	2	0	0	1	23	58	0	0	0	0	0	0
N09-1049	improve translation quality	use new decoder architecture	47	4	0	0	0	11	13	5	0	0	0	11	24	0	0	2	0	1	9	6	19	0	0	0	0	0	0
W12-3131	improve translation quality	use weighted data	8	12	1	15	0	4	16	1	5	0	0	0	2	0	0	0	4	1	5	10	28	0	0	1	0	0	0
P13-2061	improve translation quality	data cleaning/filtering	0	7	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	1	0	6	17	0	0	0	0	0	0
W14-1617	improve translation quality	provide richer model	0	9	0	0	0	0	4	0	0	0	0	0	5	1	0	0	0	14	0	30	54	0	2	0	0	0	0
D11-1125	improve translation quality	improve syntax	5	3	0	0	0	1	4	19	0	0	0	0	2	0	0	3	0	77	0	47	13	0	0	0	0	0	0
P13-2067	find better mt evaluation metric	improve semantics	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E09-3008	improve translation quality	improve preprocessing	3	5	0	0	0	32	2	0	0	0	0	0	2	0	0	0	0	2	1	1	33	0	0	0	0	0	1
W12-3138	improve translation quality	system combination	10	11	0	2	0	5	2	0	0	0	0	0	2	0	0	0	0	13	0	6	3	0	0	0	0	0	0
D10-1053	improve translation quality	provide richer model	167	99	0	8	0	2	4	0	0	0	0	1	8	0	0	4	0	4	10	2	43	0	0	0	1	0	0
P09-1020	improve translation quality	add better rule context	82	10	0	0	0	9	2	4	0	0	0	0	5	1	0	29	0	1	11	5	51	0	0	0	0	0	0
P09-1105	improve word/phrase alignment	provide richer model	4	124	0	7	0	8	1	0	0	0	0	0	3	0	0	1	0	0	0	2	12	0	0	0	2	0	0
E14-1026	improve translation quality	improve pre-ordering	30	13	0	1	0	2	1	0	0	37	0	0	41	0	0	3	0	1	5	28	27	0	0	0	0	0	0
W14-3326	improve translation quality	use domain adaptation	0	4	0	12	1	0	11	0	0	0	2	0	7	0	1	0	1	3	0	1	20	0	16	0	0	0	0
W14-3326	improve translation quality	use domain adaptation	0	4	0	12	1	0	11	0	0	0	2	0	7	0	1	0	1	3	0	1	20	0	16	0	0	0	0
W12-3126	improve translation quality	improve syntax	12	11	0	3	0	3	9	0	0	0	0	0	2	1	3	46	2	8	8	0	56	0	0	0	0	0	0
D11-1017	improve translation quality	improve preprocessing	20	2	0	3	0	1	0	0	0	0	3	0	0	0	1	6	1	5	4	5	12	0	2	0	0	0	0
W12-3132	improve translation quality	improve syntax	11	0	0	0	0	2	0	0	0	0	0	0	1	0	12	28	0	0	0	3	4	0	0	0	0	0	3
D13-1112	detect parallel documents	improve search	20	4	0	2	0	10	2	0	0	0	0	0	32	0	0	1	0	26	25	49	13	0	0	0	0	0	0
W11-2145	improve translation quality	provide richer model	16	24	0	0	0	3	38	3	0	0	3	0	3	1	0	0	0	0	2	6	59	0	1	0	0	0	2
N09-2036	improve translation speed	lazy search algorithms	16	0	0	0	0	0	3	0	0	0	0	0	5	0	0	4	0	1	7	0	8	0	0	0	0	0	0
P09-1036	improve translation quality	improve syntax	12	11	0	1	0	3	4	0	0	0	0	0	0	2	1	54	0	5	7	48	56	0	0	0	0	0	0
P13-2069	improve translation quality	improve reordering	100	11	0	0	0	3	1	0	0	10	0	0	3	0	1	11	0	2	1	3	12	0	0	0	0	0	0
D10-1043	improve training quality	add better rule context	115	8	0	0	0	2	6	0	0	0	0	1	13	1	0	35	0	0	18	2	53	0	0	0	0	0	0
D10-1043	improve training speed	make decoding efficient	115	8	0	0	0	2	6	0	0	0	0	1	13	1	0	35	0	0	18	2	53	0	0	0	0	0	0
D13-1173	improve decipherment and translation quality	use dependency parsing and finding oov translations	2	1	0	0	0	1	13	0	0	0	1	0	2	0	0	2	0	16	2	5	19	0	0	1	0	0	0
