P09-1065	system combination	provide richer model	34	2	0	0	0	6	3	0	1	0	0	0	16	0	0	3	0	9	60	17	93	0	0	0	0	0	0
W06-1606	improve translation quality	add better rule context	117	10	0	0	0	3	4	0	0	0	0	1	5	0	0	23	0	1	7	7	79	0	0	0	0	0	0
D11-1046	improve word/phrase alignment	provide richer model	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11-1046	improve translation quality	improve alignment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D12-1077	improve translation quality	improve pre-ordering	13	17	0	0	0	2	2	0	0	10	0	0	4	0	0	13	0	1	3	19	41	0	0	0	0	0	0
N10-1140	improve translation quality	provide richer model	6	15	0	2	0	5	3	0	0	0	0	0	12	0	0	5	0	6	8	13	17	0	0	0	0	0	0
D12-1025	improve translation quality	use decipherment to find translation for oov	0	0	0	0	0	2	24	0	0	0	0	0	1	0	0	1	0	7	7	5	35	0	0	1	0	0	0
N13-1002	improve translation quality	add better rule context	11	7	0	11	0	1	8	1	0	0	0	0	13	4	0	4	0	11	4	11	109	0	0	0	0	0	0
N09-1025	improve translation quality	provide more features	78	6	0	0	0	4	8	1	0	0	0	0	4	0	0	38	0	25	2	97	23	0	0	0	0	0	0
P08-1045	improve word/phrase alignment	transliteration	23	2	1	0	0	7	2	0	0	0	0	0	5	0	0	0	1	1	1	6	9	0	0	0	0	0	1
P12-1002	detect parallel documents	improve tuning	43	5	0	15	0	3	6	1	0	0	0	0	3	0	0	2	0	14	3	74	14	0	3	0	0	0	0
D10-1014	improve translation quality	add better rule context	71	6	0	0	0	4	2	1	0	0	0	0	4	0	0	87	0	2	7	33	27	0	0	0	0	0	0
P12-1033	improve word/phrase alignment	improve alignment	9	60	0	0	0	1	2	6	0	0	0	0	5	0	0	0	0	3	0	3	43	0	0	0	0	0	0
D13-1201	improve translation quality	improve search	1	5	0	0	0	15	5	21	0	0	0	0	46	1	0	0	0	87	2	43	18	0	0	0	2	0	0
D09-1008	detect parallel documents	provide more features	61	0	0	5	0	0	6	0	0	0	0	8	3	0	0	11	1	2	25	53	38	0	1	0	0	0	0
W09-0432	improve translation quality	use more data	0	11	0	0	0	5	7	1	0	0	0	0	4	0	0	0	1	16	7	18	39	0	41	0	0	0	0
P09-1103	improve translation quality	provide richer model	110	26	0	0	0	2	3	1	0	0	0	0	4	0	2	22	0	0	6	4	50	0	0	0	0	0	0
P09-1107	improve translation quality	improve alignment	0	46	0	0	0	2	3	0	0	0	0	0	4	0	2	0	0	2	12	2	27	0	0	0	0	0	0
D09-1073	improve translation quality	improve syntax	11	4	0	2	0	1	5	0	0	0	0	0	2	0	1	28	1	0	17	84	60	0	0	0	0	0	0
C10-1056	improve translation quality	provide more features	0	30	0	0	0	15	2	0	0	0	1	16	0	1	0	2	0	7	2	39	40	0	0	0	41	0	0
C10-1056	reduce model size	provide more features	0	30	0	0	0	15	2	0	0	0	1	16	0	1	0	2	0	7	2	39	40	0	0	0	41	0	0
D11-1127	improve translation quality	better decoder	14	2	0	0	0	7	30	2	0	0	0	10	27	0	2	0	0	6	17	0	33	0	0	0	0	0	0
P10-2004	improve translation quality	provide richer model	3	3	0	0	0	3	2	0	0	0	0	0	4	0	0	13	0	1	3	3	7	0	0	0	0	0	0
N09-1013	improve word/phrase alignment	improve alignment	0	71	0	0	0	5	1	0	0	0	1	1	3	2	0	2	0	0	1	7	80	0	0	0	0	0	0
N09-1013	improve translation quality	improve alignment	0	71	0	0	0	5	1	0	0	0	1	1	3	2	0	2	0	0	1	7	80	0	0	0	0	0	0
P11-1003	improve translation quality	improve syntax	108	37	0	0	0	3	1	0	0	0	0	0	4	0	3	18	0	1	10	3	2	0	0	0	0	0	0
P10-1017	improve word/phrase alignment	improve search	12	100	0	0	0	1	1	0	0	0	0	0	19	0	0	12	0	0	1	59	43	0	0	0	0	0	1
P10-1017	improve translation quality	improve alignment	12	100	0	0	0	1	1	0	0	0	0	0	19	0	0	12	0	0	1	59	43	0	0	0	0	0	1
P04-1068	improve translation quality	add better rule context	0	5	0	1	0	7	4	0	0	0	0	0	31	0	1	0	0	0	0	5	17	0	0	0	0	0	0
W11-2153	improve translation quality	improve preprocessing	0	0	0	0	0	5	1	1	4	0	3	0	3	0	5	8	1	0	0	6	16	0	0	0	0	0	1
D09-1108	improve translation speed	improve search	165	1	0	0	0	1	1	0	0	0	0	0	10	1	0	7	0	0	4	1	7	0	0	0	0	0	0
W02-1018	improve translation quality	improve alignment	0	28	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	1	6	0	59	0	0	0	0	0	0
E12-1026	improve translation quality	adapting to language direction	0	1	0	0	0	0	15	0	0	0	0	0	5	1	0	0	0	6	0	5	34	0	11	0	0	0	0
D12-1078	improve translation quality	improve syntax	51	78	0	5	0	9	3	0	1	0	0	0	0	1	0	26	0	1	8	6	13	0	3	0	0	0	0
